"Threat name: GandCrab.exe 
Threat ID: 1305271162696709733 
Mitigation name: remediate 
Mitigation Status: success"
Timestamp (UTC),Path,Registry Key,Status
2021-12-06 22:22:07.175+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Favorites\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.238+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Internet Explorer\UserData\Low\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.175+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Downloads\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.175+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Downloads\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.175+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\Sensitive\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.175+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\Sensitive\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.316+00:00,\Device\HarddiskVolume2\$77074816EC77462F8BA575BE685B2DB8\BAD8679931974E14B74133B02E1848A5\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.175+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Videos\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.191+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Videos\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.191+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Pictures\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.191+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Music\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Music\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs9\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs9\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Vault\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs8\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs8\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs7\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs7\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs6\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs6\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs5\38885c3238885bd86e.lock,,success
